MainTerm,SubRole,SubTerm,SrcFragment,ExtractedSeqNum
дерево,вид,есть,"Такие деревья, как высокие каштаны, ели, сосны, желтые и зеленые березы.;_; Такие деревья, как высокие каштаны, ели, сосны, желтые и зеленые березы.;_; деревьями, такими как высокие каштаны, ели, сосны, желтые и зеленые березы.",0;_; 1;_; 0
дерево,вид,сосна,"Такие деревья, как высокие каштаны, ели, сосны, желтые и зеленые березы.",1
дерево,вид,каштан,"Такие деревья, как высокие каштаны, ели, сосны, желтые и зеленые березы.;_; деревьями, такими как высокие каштаны, ели, сосны, желтые и зеленые березы.",2;_; 2
странное дерево,вид,красный каштан,"Такие странные деревья, как красные каштаны, лиственницы, а также хлебные деревья.;_; странным деревьям, таким как красные каштаны, пальмы, а также хлебные деревья.",0;_; 0
странное дерево,вид,хлебное дерево,"Такие странные деревья, как красные каштаны, лиственницы, а также хлебные деревья.",1
дерево,вид,красный каштан,"Такие странные деревья, как красные каштаны, лиственницы, а также хлебные деревья.;_; странным деревьям, таким как красные каштаны, пальмы, а также хлебные деревья.;_; странным деревьям, таким как красные каштаны, пальмы, а также хлебные деревья.",2;_; 1;_; 2
дерево,вид,берёза,"деревьями, такими как высокие каштаны, ели, сосны, желтые и зеленые березы.",1
кокосовая пальма,taxon rank,вид,"видами пальм, как кокосовые пальмы и финики.;_; видами пальм, как кокосовые пальмы и финики.",0;_; 1
финик,taxon rank,вид,"видами пальм, как кокосовые пальмы и финики.",1
пальма,вид,кокосовая пальма,"видами пальм, как кокосовые пальмы и финики.",2
каштановый,вид,высокий каштан,"разновидностям каштанов, таким как высокие каштаны.;_; разновидностям каштанов, таким как высокие каштаны.",0;_; 2
каштан,вид,высокий каштан,"разновидностям каштанов, таким как высокие каштаны.",1
кривая летающая птица,вид,синий зяблик,"Синие зяблики, глупые зяблики, а также и прочие криво летающие птицы !",0
зяблик,вид,синий зяблик,"Синие зяблики, глупые зяблики, а также и прочие криво летающие птицы !",1
птица,вид,синий зяблик,"Синие зяблики, глупые зяблики, а также и прочие криво летающие птицы !;_; Синие зяблики или красные зяблики, также как и другие летающие птицы.",2;_; 2
летающая птица,вид,синий зяблик,"Синие зяблики или красные зяблики, также как и другие летающие птицы.;_; Синие зяблики или красные зяблики, также как и другие летающие птицы.",0;_; 1
пример птиц,экземпляр,зяблик,примерами птиц являлись зяблики.,0
птица,вид,зяблик,примерами птиц являлись зяблики.,1
пример птиц,вид,зяблик,примерами птиц являлись зяблики.,2
пример птиц,экземпляр,ворона,примерами птиц могут являться вороны.,0
пример птиц,вид,ворона,примерами птиц могут являться вороны.,1
ворона,аспект,пример птиц,примерами птиц могут являться вороны.,2
сосна,вид,белая сосна,к соснам обычно также относят сосну канадскую и белую сосну.;_; к соснам обычно также относят сосну канадскую и белую сосну.,0;_; 1
сосна,вид,сосна канадскую,к соснам обычно также относят сосну канадскую и белую сосну.,2
банан,различие,ананас,"к пальмам иногда может относиться банан, а также ананас.;_; к пальмам иногда может относиться банан, а также ананас.",0;_; 1
ананас,различие,банан,"к пальмам иногда может относиться банан, а также ананас.",0
банан,natural product of taxon,пальма,"к пальмам иногда может относиться банан, а также ананас.",2
пальма,вид,веерная пальма,к пальме иногда относится веерная пальма.;_; к пальме иногда относится веерная пальма.,0;_; 1
пальма,различие,веерная пальма,к пальме иногда относится веерная пальма.,2
дерево,часть,лист,"деревья состоят из ствола, листьев, а также ветвей и корней.;_; деревья состоят из ствола, листьев, а также ветвей и корней.",0;_; 1
дерево,часть,корень,"деревья состоят из ствола, листьев, а также ветвей и корней.;_; деревья состоят из ствола, листьев, а также ветвей и корней.",1;_; 2
древесина,часть,кора,ствол формируется из волокон древесины и коры .,0
кора,материал,древесина,ствол формируется из волокон древесины и коры .,1
древесина,вид,кора,ствол формируется из волокон древесины и коры .,2
