Pattern,MainRole,MainTerm,SubRole,SubTerm,SrcFragment
"HypPatA, HypPatB",род,странное дерево,вид,красный каштан,"такие странные деревья, как красные каштаны, лиственницы, а также хлебные деревья;_; cтранным деревьям, таким как красные каштаны, пальмы, а также хлебные деревья"
HypPatA,род,странное дерево,вид,лиственница,"такие странные деревья, как красные каштаны, лиственницы, а также хлебные деревья"
"HypPatA, HypPatB",род,странное дерево,вид,хлебное дерево,"такие странные деревья, как красные каштаны, лиственницы, а также хлебные деревья;_; cтранным деревьям, таким как красные каштаны, пальмы, а также хлебные деревья"
HypPatA,род,часть,вид,черенок,"таких частей, как черенок, прожилки и хлоропласты"
HypPatA,род,часть,вид,прожилка,"таких частей, как черенок, прожилки и хлоропласты"
HypPatA,род,часть,вид,хлоропласт,"таких частей, как черенок, прожилки и хлоропласты"
HypPatA,род,компонента,вид,морковь,"такие компоненты, как морковь, лук, капуста и картофель"
HypPatA,род,компонента,вид,лук,"такие компоненты, как морковь, лук, капуста и картофель"
HypPatA,род,компонента,вид,капуста,"такие компоненты, как морковь, лук, капуста и картофель"
HypPatA,род,компонента,вид,картофель,"такие компоненты, как морковь, лук, капуста и картофель"
HypPatA,род,характеристика,вид,плотность,"такие характеристики, как плотность, твердость, влажность и воспламеняемость"
HypPatA,род,характеристика,вид,твердость,"такие характеристики, как плотность, твердость, влажность и воспламеняемость"
HypPatA,род,характеристика,вид,влажность,"такие характеристики, как плотность, твердость, влажность и воспламеняемость"
HypPatA,род,характеристика,вид,воспламеняемость,"такие характеристики, как плотность, твердость, влажность и воспламеняемость"
HypPatB,род,дерево,вид,высокий каштан,"деревьями, такими как высокие каштаны, ели, сосны, желтые и зеленые березы"
HypPatB,род,дерево,вид,ель,"деревьями, такими как высокие каштаны, ели, сосны, желтые и зеленые березы"
HypPatB,род,дерево,вид,сосна,"деревьями, такими как высокие каштаны, ели, сосны, желтые и зеленые березы"
HypPatB,род,дерево,вид,желтая береза,"деревьями, такими как высокие каштаны, ели, сосны, желтые и зеленые березы"
HypPatB,род,дерево,вид,зеленая береза,"деревьями, такими как высокие каштаны, ели, сосны, желтые и зеленые березы"
HypPatB,род,странное дерево,вид,пальма,"cтранным деревьям, таким как красные каштаны, пальмы, а также хлебные деревья"
HypPatB,род,разновидность каштанов,вид,высокий каштан,"разновидностям каштанов, таким как высокие каштаны"
HypPatE,род,пальма,вид,кокосовая пальма,"видами пальм, как кокосовые пальмы и финики"
HypPatE,род,пальма,вид,финик,"видами пальм, как кокосовые пальмы и финики"
HypPatE,род,каштан,вид,высокий каштан,"разновидностям каштанов, таким как высокие каштаны"
HypPatF,род,летающая птица,вид,синий зяблик,"синие зяблики или красные зяблики, также как и другие летающие птицы"
HypPatF,род,летающая птица,вид,красный зяблик,"синие зяблики или красные зяблики, также как и другие летающие птицы"
"HypPatI, HypPatIb",род,птица,вид,зяблик,примерами птиц являлись зяблики;_; примерами птиц являлись зяблики
HypPatIb,род,птица,вид,ворона,примерами птиц могут являться вороны
"HypPatV, HypPatX",род,пальма,вид,веерная пальма,к пальме иногда относится веерная пальма;_; к пальме иногда относится веерная пальма
HypPatX,род,пальма,вид,банан,"к пальмам иногда может относиться банан, а также ананас"
HypPatX,род,пальма,вид,ананас,"к пальмам иногда может относиться банан, а также ананас"
MeroPatA,целое,дерево,часть,ствол,"деревья состоят из ствола, листьев, а также ветвей"
MeroPatA,целое,дерево,часть,лист,"деревья состоят из ствола, листьев, а также ветвей"
MeroPatA,целое,дерево,часть,ветвь,"деревья состоят из ствола, листьев, а также ветвей"
MeroPatA,целое,ствол,часть,волокно древесины,ствол формируется из волокон древесины и коры
MeroPatA,целое,ствол,часть,кора,ствол формируется из волокон древесины и коры
MeroPatB,целое,лист,часть,черенок,"лист, составляющийся из таких частей, как черенок, прожилки и хлоропласты"
MeroPatB,целое,лист,часть,прожилка,"лист, составляющийся из таких частей, как черенок, прожилки и хлоропласты"
MeroPatB,целое,лист,часть,хлоропласт,"лист, составляющийся из таких частей, как черенок, прожилки и хлоропласты"
MeroPatB,целое,лиса,часть,быстрая лапка,"лиса, состоящая из быстрых лапок, хитрого носа и пушистого хвоста"
MeroPatB,целое,лиса,часть,хитрый нос,"лиса, состоящая из быстрых лапок, хитрого носа и пушистого хвоста"
MeroPatB,целое,лиса,часть,пушистый хвост,"лиса, состоящая из быстрых лапок, хитрого носа и пушистого хвоста"
MeroPatB,целое,лесополоса,часть,дерево,"лесополоса, сформированная из деревьев"
MeroPatD,целое,овощной суп,часть,морковь,"в состав овощного супа входят морковь, лук, капуста и картофель"
MeroPatD,целое,овощной суп,часть,лук,"в состав овощного супа входят морковь, лук, капуста и картофель"
MeroPatD,целое,овощной суп,часть,капуста,"в состав овощного супа входят морковь, лук, капуста и картофель"
MeroPatD,целое,овощной суп,часть,картофель,"в состав овощного супа входят морковь, лук, капуста и картофель"
MeroPatD,целое,здоровый режим дня,часть,морковь,"в состав здорового режима дня входят такие компоненты, как морковь, лук, капуста и картофель"
MeroPatD,целое,здоровый режим дня,часть,лук,"в состав здорового режима дня входят такие компоненты, как морковь, лук, капуста и картофель"
MeroPatD,целое,здоровый режим дня,часть,капуста,"в состав здорового режима дня входят такие компоненты, как морковь, лук, капуста и картофель"
MeroPatD,целое,здоровый режим дня,часть,картофель,"в состав здорового режима дня входят такие компоненты, как морковь, лук, капуста и картофель"
ParamPatFa,носитель,дерево,параметр,плотность,"дерево, имеющее такие характеристики, как плотность, твердость, влажность и воспламеняемость"
ParamPatFa,носитель,дерево,параметр,твердость,"дерево, имеющее такие характеристики, как плотность, твердость, влажность и воспламеняемость"
ParamPatFa,носитель,дерево,параметр,влажность,"дерево, имеющее такие характеристики, как плотность, твердость, влажность и воспламеняемость"
ParamPatFa,носитель,дерево,параметр,воспламеняемость,"дерево, имеющее такие характеристики, как плотность, твердость, влажность и воспламеняемость"
ParamPatFa,носитель,сосна,параметр,долгая продолжительность жизни,"сосны, имеющие свойство долгой продолжительности жизни"
ParamPatFb,носитель,суп,параметр,вкус,"супы, характеризующиеся своим вкусом, температурой"
ParamPatFb,носитель,суп,параметр,температура,"супы, характеризующиеся своим вкусом, температурой"
ParamPatFb,носитель,береза,параметр,пестрая кора,"береза, характеризуемая своей пестрой корой"
OperPatK,операция,готовка супа,субъект операции,повар,"готовка супа, осуществляемая поваром"
OperPatK,операция,осушение почвы,субъект операции,дерево,"осушение почвы, производящееся деревьями"
OperPatK,операция,тень,субъект операции,дерево,"тень, производимая деревьями"
OperPatK,операция,вырубка дерев,субъект операции,лесоруб,"вырубкой деревьев, выполняемой лесорубами"
OperPatU,операция или субъект,нагрев воды,результат операции,давление,"давление и пар, создаваемые нагревом воды"
OperPatU,операция или субъект,нагрев воды,результат операции,пара,"давление и пар, создаваемые нагревом воды"
OperPatU,операция или субъект,пальма,результат операции,прохлада,"прохлада и тень, создаваемая пальмами"
